"sst","chl","par","parml","nano_pico","micro_nano","pico","micro_pico","lat","lon","depth","month","PBmax","alpha","Ek","region","date","mld"
4.12666727701823,0.598421928974298,46.6049622429742,20.8376148493728,1.42756082916034,1.51875899028196,0.217595575854902,2.16812084346164,48,-60.4,20,5,0.67,0.0093445,71.699930440366,"scot",2000-05-13,10.4553003311157
4.12666727701823,0.598421928974298,46.6049622429742,20.8376148493728,1.42756082916034,1.51875899028196,0.217595575854902,2.16812084346164,48,-60.4,10,5,0.96,0.01481425,64.8024705941914,"scot",2000-05-13,10.4553003311157
4.6479990641276,0.510108053684235,49.5150825182597,25.3464669084651,1.39475201472259,1.4982872583714,0.222990738147893,2.08973917224669,47.18,-59.06,30,5,1.68,0.031139,53.9516362118244,"scot",2000-05-13,9.68916893005371
4.6479990641276,0.510108053684235,49.5150825182597,25.3464669084651,1.39475201472259,1.4982872583714,0.222990738147893,2.08973917224669,47.18,-59.06,10,5,2.37,0.0331135,71.5720174551165,"scot",2000-05-13,9.68916893005371
5.08666585286458,0.430402042137252,47.8478456643912,19.5158252822288,1.36518770414112,1.47996081467556,0.228018346699142,2.02042430680574,45.8,-58.22,30,5,1.89,0.02988975,63.2323789927985,"scot",2000-05-14,13.7731161117554
5.08666585286458,0.430402042137252,47.8478456643912,19.5158252822288,1.36518770414112,1.47996081467556,0.228018346699142,2.02042430680574,45.8,-58.22,10,5,2.21,0.0286025,77.2659732540862,"scot",2000-05-14,13.7731161117554
10.3096649169922,0.4766948653592,49.6673036658246,16.3308599360529,1.46326122976784,1.35241076445116,0.225114114773959,1.97893023834208,42.71,-59.77,50,5,1.6,0.03557175,44.9795132373302,"scot",2000-05-15,15.1820058822632
10.3096649169922,0.4766948653592,49.6673036658246,16.3308599360529,1.46326122976784,1.35241076445116,0.225114114773959,1.97893023834208,42.71,-59.77,10,5,3.62,0.040533,89.3099449831002,"scot",2000-05-15,15.1820058822632
9.39266662597656,0.430215131491423,46.2611657778422,19.1202715643843,1.39381942333885,1.42870887364473,0.228040726889723,1.9913621783826,43.12,-60.15,50,5,1.6,0.03687375,43.3913014000475,"scot",2000-05-15,14.2011985778809
9.39266662597656,0.430215131491423,46.2611657778422,19.1202715643843,1.39381942333885,1.42870887364473,0.228040726889723,1.9913621783826,43.12,-60.15,10,5,3.23,0.04147325,77.8815260438958,"scot",2000-05-15,14.2011985778809
