"region","ndat","date_min","date_max","mean_PBmax","sd_PBmax","mean_Ek","sd_Ek"
"ice",197,1998-04-10,2006-08-26,2.62569543147208,1.14039005528517,50.5018790864885,23.096842067244
"lab",151,1998-07-01,2002-08-01,2.38761589403973,0.867990559556398,80.0824168205823,32.7817917753968
"scot",353,1998-04-09,2002-12-21,3.9854447592068,2.06760894594017,109.244752010244,44.7341788951755
"spac",332,2003-10-27,2003-12-11,1.765196304,1.37291053971602,112.968579253071,107.921695069439
"tas",208,2000-11-01,2006-02-19,2.57088617774038,1.62899772427896,51.1941483524193,38.2111104028582
